23 Jul,28.7,26.9,24.7,23.1,0,4.7,0.8,1014.2,1014.3,1012.3
24 Jul,29.1,26.9,25,23.1,0,6.5,0.9,1014.2,1014.9,1012.3
25 Jul,32.7,26.9,25.4,20.8,0,9.7,1.1,1014.2,1015.3,1011.5
26 Jul,33.8,25.1,25.2,22.2,0,9.7,1.4,1014.2,1014.2,1010.5
27 Jul,33.5,26.9,25.9,23,0,3.6,1.5,28.6,1013.7,1009.429
29 Jul,34.2,27.2,26.4,22.1,0.0,6.7,1.5,28.7,1014.2,1010.1
30 Jul,33.1,27.4,26.2,23.9,0.0,7.6,1.6,28.6,1014.4,1009.6
31 Jul,32.8,27.2,25.4,22.2,0.0,8.9,1.7,27.8,1013.8,1009.7
1 Aug,32.8,25.8,24.8,21.3,0.0,7.6,1.4,28.5,1014.8,1010.8
2 Aug,32.7,26.8,25.4,22.2,0.0,8.0,1.7,28.8,1013.8,1010.3
3 Aug,33.4,27.4,25.5,22.8,0.0,6.7,1.6,28.9,1013.9,1009.6
4 Aug,31.9,27.2,26.2,23.9,0.0,7.6,1.6,28.4,1013.1,1009.7
5 Aug,32.0,26.0,26.8,23.6,6.2,7.6,1.5,28.3,1013.2,1009.2
6 Aug,32.0,27.4,25.9,24.2,0.0,6.3,1.5,28.1,1012.3,1008.8
7 Aug,32.4,26.8,25.8,23.8,0.0,6.7,1.5,28.3,1012.2,1008.0
8 Aug,31.8,26.8,25.9,23.2,0.0,8.9,1.7,28.1,1012.6,1008.5
9 Aug,32.4,27.1,26.2,23.8,0.0,8.0,1.6,28.5,1012.6,1008.7
10 Aug,32.3,27.4,25.9,24.1,0.0,7.2,1.8,28.2,1012.6,1008.1
11 Aug,32.9,27.2,26.5,24.0,0.0,8.0,1.7,28.8,1013.0,1008.1
12 Aug,33.4,27.6,25.8,23.3,0.0,7.2,1.9,28.5,1013.9,1009.4
13 Aug,33.2,27.6,26.2,24.5,0.0,7.2,1.7,28.8,1013.5,1009.9
14 Aug,33.2,27.4,27.3,24.3,0.8,7.2,1.6,28.3,1014.7,1010.1
15 Aug,32.8,26.3,26.2,22.4,0.0,7.2,1.4,28.7,1015.1,1011.0
16 Aug,33.7,27.5,25.5,21.8,0.0,8.5,1.7,28.7,1014.7,1010.7
17 Aug,33.1,24.8,26.8,23.1,6.8,7.6,1.8,28.3,1015.3,1010.5
18 Aug,33.7,27.7,26.1,21.3,0.0,8.0,2.1,27.9,1014.5,1010.8
19 Aug,34.1,26.8,25.4,20.3,0.0,7.2,1.5,28.4,1014.8,1010.5
20 Aug,33.4,27.7,25.9,23.6,0.0,9.4,2.4,28.6,1013.3,1009.0
21 Aug,33.1,27.5,25.9,23.2,0.0,7.6,1.9,28.5,1013.1,1009.4
22 Aug,32.9,27.6,26.5,23.1,0.0,8.5,1.9,28.7,1014.2,1010.0
23 Aug,34.1,27.6,26.1,19.7,0.0,8.9,2.2,28.3,1014.4,1009.9
24 Aug,33.4,27.3,25.4,20.8,0.0,6.3,1.9,28.4,1013.9,1010.0
25 Aug,33.1,26.9,25.7,23.1,0.0,11.2,1.5,28.5,1014.4,1010.0
26 Aug,33.7,24.6,25.9,22.6,3.4,7.2,1.4,25.5,1014.0,1008.8
27 Aug,30.9,24.8,25.9,22.9,0.4,10.7,1.1,26.3,1014.3,1009.3
28 Aug,28.2,25.3,24.9,22.8,0.0,6.7,0.8,26.8,1015.0,1011.0
29 Aug,32.2,26.1,26.2,24.4,0.0,8.0,1.6,28.1,1014.1,1008.8
31 Aug,33.2,26.4,24.6,20.1,0.0,8.0,1.6,27.8,1012.0,1008.5
1 Sep,33.3,25.2,26.0,22.7,0.0,6.7,1.4,28.5,1013.2,1009.4
2 Sep,33.1,26.9,27.6,24.7,5.6,6.7,1.7,28.8,1013.1,1009.8
3 Sep,33.7,27.6,26.4,22.9,0.0,7.2,1.7,28.7,1013.3,1008.9
